Messzeit Spektrum (s):;3600;
Messzeitpunkt:;26.01.2021 12:35;
;;
Messzeit Nullspektrum (s):;3600;
Messzeitpunkt:;26.01.2021 11:34;
;;
Verstärkung:;7.097;
Hochspannung:;870;
;;
Kalibrierfaktor:;0.46208;
;;
Offset:;3;
;;
;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;3;0
3;1;0
4;2;0
5;0;0
6;0;0
7;0;0
8;1;0
9;0;1
10;1;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;2;0
23;3;2
24;6;4
25;7;3
26;9;1
27;7;4
28;15;3
29;31;13
30;126;35
31;127;24
32;105;31
33;66;12
34;62;12
35;56;11
36;89;13
37;86;17
38;118;24
39;115;27
40;133;28
41;147;23
42;182;24
43;181;30
44;186;35
45;165;21
46;184;27
47;187;25
48;204;26
49;201;33
50;211;23
51;205;29
52;219;29
53;208;25
54;221;33
55;252;37
56;250;30
57;235;25
58;235;26
59;263;25
60;253;26
61;231;28
62;240;34
63;239;25
64;278;20
65;257;23
66;230;28
67;240;43
68;224;34
69;238;20
70;215;30
71;243;34
72;213;32
73;220;42
74;204;29
75;207;28
76;187;28
77;183;34
78;195;26
79;172;37
80;186;21
81;163;25
82;195;34
83;195;42
84;193;35
85;189;37
86;207;32
87;182;29
88;191;45
89;189;34
90;213;41
91;179;30
92;198;27
93;228;21
94;228;36
95;226;29
96;204;40
97;254;40
98;265;30
99;257;36
100;296;33
101;288;38
102;296;34
103;267;40
104;335;38
105;339;38
106;375;37
107;372;42
108;378;45
109;401;44
110;453;43
111;467;41
112;464;56
113;527;46
114;474;29
115;481;55
116;563;50
117;602;39
118;636;47
119;575;36
120;633;37
121;681;41
122;686;41
123;654;27
124;726;40
125;697;33
126;748;32
127;738;25
128;753;31
129;718;27
130;762;39
131;755;37
132;755;43
133;707;44
134;710;36
135;697;41
136;744;45
137;628;47
138;693;43
139;645;56
140;656;44
141;644;37
142;590;43
143;570;43
144;556;35
145;565;44
146;515;39
147;475;35
148;479;52
149;421;31
150;484;44
151;413;43
152;402;49
153;393;41
154;415;48
155;405;56
156;374;50
157;346;40
158;364;41
159;319;42
160;357;54
161;309;40
162;350;46
163;300;53
164;299;33
165;301;43
166;306;44
167;318;45
168;267;45
169;288;47
170;304;40
171;307;56
172;322;54
173;257;47
174;301;47
175;306;55
176;258;42
177;245;48
178;276;54
