Messzeit Spektrum (s):;
Messzeitpunkt:;
;
Messzeit Nullspektrum (s):;
Messzeitpunkt:;
;
Verstärkung:;
Hochspannung:;
;
Kalibrierfaktor:;
;
Offset:;
;
;
Kanal;
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;4
25;0
26;0
27;1
28;4
29;3
30;8
31;15
32;12
33;5
34;2
35;5
36;7
37;1
38;4
39;10
40;9
41;10
42;11
43;16
44;9
45;10
46;19
47;26
48;20
49;14
50;12
51;21
52;26
53;21
54;22
55;18
56;19
57;14
58;25
59;11
60;24
61;27
62;23
63;23
64;28
65;20
66;24
67;22
68;8
69;11
70;15
71;19
72;16
73;16
74;13
75;10
76;16
77;11
78;28
79;18
80;8
81;17
82;10
83;9
84;15
85;18
86;22
87;27
88;11
89;17
90;17
91;17
92;21
93;26
94;15
95;16
96;20
97;16
98;23
99;24
100;19
101;35
102;28
103;22
104;30
105;36
106;41
107;35
108;21
109;34
110;48
111;52
112;51
113;53
114;45
115;50
116;48
117;56
118;55
119;61
120;63
121;63
122;87
123;91
124;73
125;83
126;76
127;80
128;90
129;76
130;89
131;82
132;71
133;81
134;80
135;78
136;88
137;77
138;76
139;76
140;70
141;77
142;78
143;61
144;57
145;53
146;48
147;68
148;64
149;62
150;46
151;41
152;48
153;32
154;49
155;25
156;45
157;30
158;45
159;33
160;34
161;29
162;34
163;15
164;26
165;22
166;35
167;20
168;16
169;27
170;28
171;27
172;27
173;28
174;24
175;24
176;28
177;23
178;29
179;16
180;32
181;18
182;27
183;21
184;22
185;37
186;24
187;24
188;28
189;19
190;30
191;33
192;10
193;27
194;15
195;28
196;13
197;33
198;26
199;26
200;25
201;27
202;20
203;30
204;32
205;22
206;20
207;41
208;27
209;20
210;21
211;26
212;28
213;20
214;20
215;18
216;21
217;22
218;27
219;27
220;31
221;27
222;29
223;37
224;13
225;22
226;34
227;16
228;30
229;36
230;28
231;31
232;36
233;41
234;35
235;33
236;30
237;30
238;37
239;35
240;42
241;30
242;35
243;39
244;42
245;45
246;61
247;43
248;47
249;49
250;42
251;46
252;39
253;36
254;52
255;35
256;35
257;45
258;45
259;36
260;44
261;34
262;46
263;37
264;49
265;42
266;31
267;39
268;36
269;34
270;47
271;58
272;43
273;35
274;37
275;29
276;34
277;53
