Messzeit Spektrum (s):;
278;44
279;41
280;38
281;42
282;47
283;34
284;33
285;37
286;53
287;42
288;43
289;42
290;47
291;40
292;29
293;34
294;30
295;24
296;35
297;33
298;32
299;22
300;35
301;25
302;35
303;36
304;39
305;31
306;28
307;28
308;29
309;22
310;22
311;39
312;32
313;30
314;34
315;28
316;40
317;20
318;31
319;24
320;28
321;41
322;33
323;20
324;44
325;23
326;22
327;29
328;28
329;33
330;32
331;29
332;28
333;36
334;26
335;32
336;46
337;22
338;36
339;24
340;17
341;28
342;24
343;35
344;30
345;32
346;31
347;34
348;28
349;29
350;34
351;19
352;31
353;27
354;26
355;31
356;31
357;21
358;26
359;27
360;20
361;29
362;46
363;38
364;33
365;29
366;43
367;37
368;33
369;25
370;24
371;26
372;24
373;39
374;28
375;18
376;33
377;37
378;33
379;35
380;34
381;40
382;43
383;28
384;28
385;22
386;42
387;18
388;29
389;31
390;36
391;31
392;35
393;30
394;25
395;26
396;33
397;37
398;22
399;30
400;37
401;23
402;19
403;40
404;26
405;31
406;38
407;23
408;35
409;16
410;34
411;26
412;33
413;30
414;31
415;26
416;30
417;36
418;21
419;25
420;34
421;28
422;27
423;27
424;39
425;30
426;26
427;31
428;37
429;39
430;35
431;33
432;29
433;18
434;35
435;30
436;40
437;36
438;28
439;31
440;30
441;40
442;39
443;38
444;33
445;37
446;37
447;39
448;35
449;33
450;41
451;27
452;38
453;34
454;36
455;40
456;46
457;39
458;45
459;39
460;35
461;44
462;47
463;36
464;46
465;31
466;45
467;41
468;51
469;47
470;49
471;34
472;51
473;38
474;39
475;35
476;47
477;39
478;43
479;39
480;49
481;33
482;48
483;50
484;46
485;34
486;32
487;48
488;58
489;48
490;43
491;31
492;43
493;30
494;43
495;35
496;42
497;35
498;36
499;44
500;43
501;32
502;34
503;31
504;37
505;37
506;39
507;33
508;36
509;30
510;29
511;27
512;26
513;27
514;31
515;35
516;28
517;35
518;29
519;23
520;32
521;33
522;26
523;28
524;37
525;16
526;34
527;37
528;29
529;26
530;13
531;24
532;25
533;33
534;38
535;16
536;34
537;28
538;29
539;27
540;22
541;24
542;24
543;19
544;19
545;35
546;16
547;14
548;24
549;27
550;34
551;24
552;15
553;27
554;22
555;17
556;17
557;25
558;26
559;19
560;22
561;30
562;16
563;11
564;19
565;12
566;26
567;18
568;24
569;23
570;22
571;18
572;20
573;19
574;24
575;12
576;25
577;18
578;22
579;17
580;28
581;32
582;24
583;23
584;19
585;17
586;22
587;23
588;22
589;21
590;21
591;15
592;27
593;12
594;22
595;24
596;27
597;22
598;16
599;27
600;16
601;26
602;17
603;33
604;15
605;24
606;20
607;27
608;23
609;17
610;17
611;27
612;19
613;25
614;20
615;39
616;24
617;20
618;17
619;21
620;26
621;21
622;19
623;21
624;27
625;18
626;20
627;24
628;15
629;14
630;21
631;25
632;25
633;21
634;18
635;36
636;27
637;24
638;18
639;15
640;20
641;20
642;27
643;22
644;28
645;23
646;22
647;16
648;22
649;22
650;22
651;22
652;20
653;16
654;16
655;31
656;21
657;26
658;21
659;22
660;22
661;13
662;20
663;13
664;17
665;21
666;31
667;26
668;25
669;17
670;13
671;23
672;23
673;22
674;23
675;19
676;24
677;18
678;14
679;19
680;11
681;15
682;28
683;21
684;23
685;17
686;27
687;15
688;22
689;18
690;32
691;15
692;20
693;19
694;23
695;20
696;8
697;19
698;29
699;10
700;10
701;15
702;17
703;24
704;24
705;22
706;21
707;16
708;19
709;29
710;16
711;23
712;21
713;22
714;16
715;22
716;21
717;15
718;17
719;24
720;16
721;19
722;24
723;15
724;15
725;9
726;16
727;21
728;26
729;21
730;31
731;17
732;18
733;10
734;24
735;20
736;23
737;17
738;21
739;13
740;17
741;15
742;15
743;19
744;19
745;24
746;17
747;14
748;19
749;16
750;17
751;17
752;22
753;17
754;16
755;14
756;20
757;13
758;14
759;26
760;21
761;17
762;27
763;18
764;1
765;12
766;23
767;21
768;23
769;31
770;15
771;21
772;14
773;26
774;20
775;20
776;25
777;21
778;20
779;30
780;22
781;21
782;14
783;35
784;15
785;20
786;20
787;15
788;14
789;24
790;22
791;29
792;17
793;20
794;14
795;21
796;20
797;22
798;20
799;17
800;22
801;26
802;24
803;20
804;21
805;20
806;17
807;27
808;19
809;16
810;21
811;22
812;25
813;14
814;23
815;18
816;26
817;21
818;11
819;9
820;25
821;18
822;24
823;18
824;12
825;29
826;19
827;21
828;26
829;28
830;24
831;13
832;18
833;24
834;29
835;19
836;25
837;11
838;28
839;19
840;19
841;11
842;11
843;18
844;29
845;13
846;13
847;10
848;17
849;24
850;27
851;25
852;25
853;24
854;18
855;23
856;21
857;27
858;18
859;21
860;13
861;11
862;19
863;14
864;26
865;18
866;21
867;22
868;12
869;20
870;10
871;21
872;16
873;24
874;21
875;13
876;14
877;23
878;22
879;18
880;14
881;21
882;24
883;9
884;20
885;13
886;12
887;26
888;20
889;14
890;19
891;20
892;19
893;20
894;27
895;16
896;15
897;16
898;17
899;16
900;9
901;6
902;24
903;24
904;22
905;14
906;24
907;23
908;9
909;21
910;19
911;24
912;19
913;19
914;20
915;18
916;15
917;12
918;9
919;16
920;17
921;10
922;8
923;4
924;9
925;15
926;14
927;9
928;17
929;21
930;19
931;15
932;14
933;12
934;7
935;15
936;19
937;19
938;12
939;12
940;7
941;19
942;8
943;14
944;18
945;10
946;12
947;4
948;15
949;5
950;13
951;8
952;15
953;13
954;15
955;14
956;16
957;15
958;15
959;10
960;10
961;4
962;13
963;13
964;14
965;10
966;15
967;11
968;16
969;5
970;3
971;11
972;16
973;9
974;27
975;7
976;14
977;11
978;13
979;10
980;12
981;17
982;10
983;10
984;9
985;11
986;11
987;11
988;11
989;12
990;13
991;17
992;12
993;10
994;9
995;6
996;12
997;12
998;10
999;10
1000;6
1001;6
1002;9
1003;18
1004;11
1005;9
1006;12
1007;13
1008;1
1009;10
1010;4
1011;17
1012;11
1013;6
1014;11
1015;12
1016;7
1017;11
1018;10
1019;2
1020;10
1021;12
1022;15
1023;18
1024;12
1025;11
1026;8
1027;4
1028;8
1029;10
1030;11
1031;6
1032;12
1033;8
1034;8
1035;9
1036;10
1037;6
1038;5
1039;5
1040;8
1041;11
1042;11
1043;14
1044;11
1045;13
1046;18
1047;8
1048;11
1049;7
1050;12
1051;3
1052;7
1053;1
1054;4
1055;4
1056;7
1057;3
1058;11
1059;10
1060;10
1061;2
1062;15
1063;6
1064;16
1065;6
1066;11
1067;5
1068;-2
1069;7
1070;5
1071;5
1072;9
1073;8
1074;1
1075;8
1076;3
1077;8
1078;7
1079;4
1080;1
1081;11
1082;2
1083;11
1084;5
1085;9
1086;7
1087;12
1088;16
1089;9
1090;11
1091;17
1092;9
1093;1
1094;10
1095;8
1096;7
1097;18
1098;6
1099;10
1100;7
1101;10
1102;2
1103;7
1104;7
1105;4
1106;2
1107;12
1108;6
1109;2
1110;13
1111;7
1112;9
1113;1
1114;1
1115;12
1116;1
1117;7
1118;8
1119;10
1120;3
1121;6
1122;5
1123;2
1124;8
1125;8
1126;6
1127;11
1128;11
1129;7
1130;7
1131;6
1132;5
1133;12
1134;11
1135;12
1136;9
1137;3
1138;5
1139;1
1140;4
1141;3
1142;8
1143;12
1144;9
1145;15
1146;11
1147;10
1148;3
1149;9
1150;9
1151;7
1152;9
1153;9
1154;7
1155;7
1156;4
1157;2
1158;2
1159;1
1160;4
1161;7
1162;4
1163;6
1164;2
1165;9
1166;8
1167;8
1168;10
1169;5
1170;11
1171;7
1172;8
1173;3
1174;12
1175;0
1176;6
1177;14
1178;4
1179;8
1180;12
1181;4
1182;6
1183;7
1184;6
1185;7
1186;2
1187;10
1188;3
1189;5
1190;4
1191;4
1192;11
1193;3
1194;10
1195;-1
1196;11
1197;5
1198;6
1199;7
1200;-2
1201;4
1202;8
1203;-1
1204;8
1205;9
1206;6
1207;5
1208;14
1209;2
1210;5
1211;6
1212;4
1213;6
1214;5
1215;4
1216;11
1217;8
1218;5
1219;6
1220;4
1221;8
1222;8
1223;5
1224;6
1225;2
1226;7
1227;7
1228;8
1229;10
1230;1
1231;9
1232;2
1233;7
1234;8
1235;7
1236;8
1237;8
1238;5
1239;7
1240;1
1241;3
1242;1
1243;11
1244;10
1245;3
1246;3
1247;7
1248;5
1249;0
1250;6
1251;4
1252;4
1253;4
1254;8
1255;1
1256;7
1257;3
1258;8
1259;1
1260;5
1261;4
1262;7
1263;4
1264;0
1265;0
1266;4
1267;6
1268;7
1269;0
1270;8
1271;2
1272;0
1273;3
1274;7
1275;6
1276;7
1277;1
1278;2
1279;8
1280;9
1281;0
1282;5
1283;7
1284;9
1285;6
1286;4
1287;7
1288;4
1289;-2
1290;5
1291;6
1292;6
1293;5
1294;3
1295;6
1296;6
1297;-1
1298;6
1299;7
1300;8
1301;8
1302;6
1303;4
1304;11
1305;2
1306;-1
1307;4
1308;4
1309;2
1310;6
1311;-1
1312;11
1313;1
1314;5
1315;4
1316;-2
1317;7
1318;4
1319;6
1320;2
1321;4
1322;3
1323;7
1324;-2
1325;6
1326;11
1327;4
1328;4
1329;1
1330;4
1331;10
1332;5
1333;9
1334;4
1335;3
1336;10
1337;5
1338;5
1339;6
1340;7
1341;3
1342;3
1343;-2
1344;1
1345;3
1346;0
1347;1
1348;9
1349;7
1350;-3
1351;6
1352;8
1353;1
1354;7
1355;4
1356;5
1357;6
1358;1
1359;8
1360;1
1361;11
1362;12
1363;8
1364;7
1365;4
1366;4
1367;3
1368;2
1369;1
1370;4
1371;0
1372;-2
1373;3
1374;2
1375;8
1376;3
1377;-2
1378;5
1379;6
1380;1
1381;4
1382;2
1383;9
1384;3
1385;6
1386;4
1387;7
1388;4
1389;4
1390;6
1391;2
1392;5
1393;-1
1394;1
1395;4
1396;3
1397;-1
1398;5
1399;2
1400;2
1401;5
1402;-1
1403;7
1404;7
1405;0
1406;8
1407;7
1408;5
1409;3
1410;6
1411;8
1412;2
1413;2
1414;3
1415;4
1416;1
1417;6
1418;4
1419;3
1420;0
1421;3
1422;7
1423;3
1424;-1
1425;-2
1426;6
1427;-1
1428;6
1429;2
1430;6
1431;6
1432;3
1433;5
1434;7
1435;1
1436;0
1437;6
1438;12
1439;2
1440;4
1441;3
1442;5
1443;0
1444;2
1445;3
1446;2
1447;1
1448;3
1449;8
1450;5
1451;2
1452;2
1453;1
1454;-1
1455;1
1456;4
1457;-2
1458;5
1459;2
1460;6
1461;1
1462;2
1463;1
1464;5
1465;9
1466;7
1467;0
1468;0
1469;2
1470;1
1471;3
1472;3
1473;1
1474;1
1475;-1
1476;-1
1477;5
1478;1
1479;5
1480;6
1481;4
1482;2
1483;2
1484;6
1485;1
1486;0
1487;3
1488;-1
1489;0
1490;2
1491;-1
1492;-1
1493;2
1494;7
1495;0
1496;0
1497;-1
1498;4
1499;2
1500;1
1501;-1
1502;4
1503;3
1504;3
1505;3
1506;9
1507;1
1508;1
1509;4
1510;1
1511;0
1512;1
1513;-2
1514;2
1515;3
1516;3
1517;5
1518;5
1519;0
1520;-2
1521;2
1522;4
1523;1
1524;0
1525;2
1526;5
1527;6
1528;-1
1529;-1
1530;2
1531;1
1532;4
1533;-3
1534;-1
1535;-1
1536;-1
1537;3
1538;0
1539;-1
1540;-2
1541;3
1542;1
1543;1
1544;2
1545;1
1546;3
1547;6
1548;1
1549;-1
1550;-1
1551;1
1552;9
1553;0
1554;3
1555;2
1556;-1
1557;4
1558;5
1559;2
1560;1
1561;7
1562;2
1563;0
1564;1
1565;1
1566;2
1567;2
1568;1
1569;1
1570;0
1571;-2
1572;5
1573;0
1574;0
1575;6
1576;-1
1577;3
1578;2
1579;4
1580;4
1581;8
1582;-2
1583;1
1584;-2
1585;4
1586;4
1587;2
1588;0
1589;3
1590;10
1591;-1
1592;1
1593;0
1594;2
1595;2
1596;2
1597;1
1598;3
1599;2
1600;0
1601;-6
1602;1
1603;1
1604;7
1605;-1
1606;4
1607;7
1608;1
1609;3
1610;1
1611;2
1612;1
1613;-2
1614;2
1615;-1
1616;3
1617;1
1618;3
1619;4
1620;1
1621;0
1622;0
1623;0
1624;0
1625;1
1626;3
1627;0
1628;1
1629;5
1630;-2
1631;1
1632;1
1633;1
1634;5
1635;5
1636;5
1637;7
1638;0
1639;2
1640;1
1641;2
1642;1
1643;3
1644;5
1645;-1
1646;3
1647;5
1648;2
1649;3
1650;3
1651;-1
1652;5
1653;-4
1654;2
1655;-1
1656;4
1657;0
1658;5
1659;3
1660;1
1661;4
1662;-1
1663;6
1664;1
1665;4
1666;-1
1667;2
1668;0
1669;4
1670;-1
1671;3
1672;1
1673;0
1674;0
1675;3
1676;3
1677;3
1678;6
1679;1
1680;6
1681;4
1682;1
1683;3
1684;3
1685;2
1686;2
1687;1
1688;-3
1689;5
1690;3
1691;1
1692;6
1693;-2
1694;2
1695;2
1696;0
1697;1
1698;2
1699;2
1700;6
1701;0
1702;6
1703;-1
1704;3
1705;7
1706;6
1707;-3
1708;0
1709;3
1710;3
1711;3
1712;4
1713;3
1714;-1
1715;-1
1716;3
1717;-1
1718;5
1719;2
1720;3
1721;1
1722;-1
1723;-1
1724;2
1725;1
1726;3
1727;3
1728;0
1729;-1
1730;2
1731;0
1732;1
1733;1
1734;-1
1735;-3
1736;5
1737;3
1738;3
1739;0
1740;6
1741;5
1742;2
1743;1
1744;4
1745;-2
1746;4
1747;0
1748;1
1749;2
1750;1
1751;-2
1752;-2
1753;1
1754;2
1755;2
1756;-3
1757;-1
1758;-3
1759;-1
1760;0
1761;-2
1762;2
1763;4
1764;0
1765;-1
1766;-3
1767;2
1768;4
1769;2
1770;2
1771;2
1772;4
1773;6
1774;-1
1775;5
1776;1
1777;2
1778;-1
1779;1
1780;4
1781;8
1782;-1
1783;1
1784;-2
1785;-2
1786;8
1787;2
1788;0
1789;-1
1790;1
1791;7
1792;0
1793;-1
1794;-1
1795;-3
1796;1
1797;2
1798;0
1799;-1
1800;-1
1801;-1
1802;2
1803;1
1804;3
1805;-2
1806;-1
1807;-1
1808;-1
1809;2
1810;-2
1811;0
1812;-2
1813;3
1814;8
1815;0
1816;2
1817;1
1818;1
1819;5
1820;-1
1821;2
1822;3
1823;0
1824;0
1825;-2
1826;1
1827;3
1828;-1
1829;1
1830;3
1831;-1
1832;3
1833;1
1834;2
1835;-1
1836;1
1837;0
1838;4
1839;-1
1840;3
1841;4
1842;-1
1843;0
1844;2
1845;-1
1846;0
1847;2
1848;2
1849;3
1850;2
1851;0
1852;-1
1853;0
1854;2
1855;1
1856;-3
1857;0
1858;-2
1859;0
1860;-5
1861;2
1862;5
1863;1
1864;-1
1865;0
1866;3
1867;0
1868;-3
1869;1
1870;-2
1871;2
1872;1
1873;-1
1874;-3
1875;0
1876;-2
1877;1
1878;4
1879;2
1880;-1
1881;0
1882;1
1883;2
1884;-1
1885;2
1886;-2
1887;0
1888;3
1889;3
1890;0
1891;-2
1892;-2
1893;0
1894;3
1895;2
1896;-2
1897;0
1898;-3
1899;1
1900;0
1901;3
1902;0
1903;1
1904;3
1905;-2
1906;-2
1907;2
1908;6
1909;4
1910;1
1911;4
1912;-1
1913;0
1914;-2
1915;-3
1916;-1
1917;1
1918;0
1919;1
1920;5
1921;3
1922;0
1923;0
1924;5
1925;1
1926;-3
1927;-1
1928;1
1929;1
1930;0
1931;1
1932;1
1933;3
1934;-1
1935;1
1936;2
1937;1
1938;4
1939;3
1940;0
1941;2
1942;1
1943;-2
1944;-1
1945;-2
1946;1
1947;-1
1948;4
1949;2
1950;1
1951;2
1952;0
1953;0
1954;3
1955;1
1956;-3
1957;3
1958;-1
1959;0
1960;0
1961;1
1962;0
1963;1
1964;2
1965;-2
1966;0
1967;1
1968;0
1969;-1
1970;0
1971;1
1972;-2
1973;5
1974;0
1975;2
1976;2
1977;-1
1978;1
1979;6
1980;0
1981;1
1982;-2
1983;-3
1984;0
1985;0
1986;2
1987;0
1988;3
1989;1
1990;2
1991;2
1992;0
1993;-3
1994;-3
1995;1
1996;8
1997;0
1998;2
1999;-6
2000;3
2001;1
2002;0
2003;2
2004;-1
2005;0
2006;2
2007;4
2008;6
2009;3
2010;-1
2011;0
2012;-1
2013;4
2014;-1
2015;0
2016;-2
2017;3
2018;-3
2019;-1
2020;-2
2021;-4
2022;5
2023;-4
2024;2
2025;-1
2026;-1
2027;2
2028;1
2029;0
2030;-1
2031;2
2032;2
2033;1
2034;-1
2035;0
2036;0
2037;2
2038;-3
2039;-1
2040;2
2041;3
2042;-3
2043;2
2044;0
2045;-1
2046;3
2047;0
