Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;22.12.2020 10:42:57

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;22.12.2020 09:46:15

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46144

Offset:;2

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;1;0
5;0;0
6;0;1
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;1;1
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;1;0
23;0;0
24;1;2
25;0;0
26;0;0
27;0;2
28;4;1
29;14;0
30;10;3
31;11;3
32;3;0
33;2;1
34;4;2
35;4;1
36;11;2
37;8;0
38;15;1
39;12;6
40;11;2
41;13;2
42;10;2
43;17;7
44;13;1
45;13;1
46;19;0
47;17;2
48;10;3
49;14;5
50;16;4
51;20;1
52;12;1
53;31;3
54;22;2
55;22;4
56;16;2
57;16;1
58;15;2
59;26;6
60;15;2
61;21;0
62;25;1
63;14;2
64;27;2
65;15;4
66;29;4
67;10;4
68;20;0
69;16;2
70;17;1
71;19;2
72;19;4
73;17;2
74;18;7
75;19;3
76;23;3
77;20;4
78;14;2
79;22;3
80;13;5
81;10;3
82;11;2
83;19;3
84;15;2
85;18;1
86;16;1
87;20;4
88;19;7
89;29;1
90;18;4
91;17;4
92;12;0
93;27;5
94;21;5
95;19;3
96;21;3
97;25;1
98;31;2
99;27;2
100;19;4
101;32;2
102;26;4
103;26;3
104;31;4
105;40;4
106;43;6
107;45;0
108;29;2
109;33;3
110;39;1
111;32;5
112;45;4
113;40;8
114;58;8
115;47;2
116;65;2
117;51;2
118;55;1
119;56;1
120;71;2
121;57;6
122;56;2
123;55;4
124;64;4
125;65;1
126;77;3
127;59;5
128;77;2
129;56;4
130;76;4
131;64;8
132;68;2
133;60;3
134;86;6
135;61;4
136;58;5
137;64;2
138;54;3
139;73;5
140;56;3
141;64;1
142;41;2
143;56;3
144;55;4
145;50;2
146;42;1
147;53;3
148;43;4
149;45;6
150;45;5
151;40;4
152;44;5
153;36;1
154;18;2
155;31;3
156;33;6
157;27;2
158;33;4
159;28;5
160;28;8
161;19;3
162;26;5
163;27;7
164;23;5
165;20;5
166;22;6
167;22;4
168;17;1
169;20;7
170;25;4
171;17;4
172;27;1
173;26;1
174;27;3
175;29;4
176;17;1
177;30;5
178;19;5
179;20;3
180;31;4
181;23;2
182;20;1
183;25;3
184;36;2
185;27;1
186;20;9
187;34;4
188;20;6
189;18;5
190;27;0
191;32;4
192;35;3
193;22;3
194;21;3
195;25;6
196;29;6
197;27;3
198;35;5
199;26;4
200;26;4
201;23;2
202;26;1
203;22;3
204;29;5
205;28;2
206;28;2
207;25;6
208;17;6
209;24;2
210;24;3
211;21;5
212;23;3
213;25;3
214;31;3
215;35;5
216;23;3
217;21;0
218;37;0
219;29;2
220;26;1
221;26;3
222;24;9
223;27;2
224;33;3
225;30;4
226;22;3
227;25;2
228;37;4
229;30;3
230;21;4
231;27;4
232;32;1
233;21;4
234;33;1
235;27;3
236;30;2
237;31;2
238;27;5
239;41;3
240;32;3
241;32;1
242;26;3
243;38;5
244;30;4
245;26;2
246;39;3
247;43;4
248;40;3
249;41;5
250;31;3
251;40;5
252;37;4
253;34;2
254;30;10
255;34;4
256;36;3
257;45;4
258;45;1
259;39;4
260;39;5
261;48;0
262;32;7
263;47;1
264;36;3
265;48;0
266;32;4
267;42;7
268;34;5
269;49;2
270;25;6
271;38;5
272;42;4
273;32;2
274;43;2
275;34;3
276;37;8
277;41;2
278;25;6
279;33;1
280;38;4
281;34;4
282;38;5
283;26;2
284;33;1
285;32;3
286;30;5
287;28;6
