Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;29.01.2021 08:39:40

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;29.01.2021 08:13:51

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46079

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;1;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;2;0
27;0;1
28;0;0
29;1;0
30;8;1
31;2;5
32;5;5
33;5;3
34;1;1
35;2;0
36;1;3
37;2;3
38;1;1
39;5;3
40;9;3
41;6;3
42;10;2
43;9;4
44;9;3
45;5;3
46;8;3
47;5;2
48;4;1
49;14;2
50;11;2
51;6;2
52;10;3
53;10;1
54;11;0
55;6;4
56;14;7
57;7;2
58;10;2
59;9;6
60;8;8
61;11;0
62;12;3
63;8;0
64;13;1
65;12;4
66;12;4
67;6;1
68;5;1
69;9;1
70;7;1
71;8;3
72;9;3
73;7;1
74;9;3
75;9;0
76;7;3
77;7;3
78;6;3
79;8;2
80;8;5
81;11;3
82;13;1
83;13;3
84;1;4
85;8;2
86;2;3
87;13;5
88;7;7
89;10;1
90;13;3
91;14;3
92;10;2
93;13;3
94;16;7
95;17;1
96;12;1
97;9;4
98;11;4
99;9;1
100;11;8
101;12;2
102;18;2
103;22;1
104;13;1
105;16;3
106;15;3
107;22;1
108;16;4
109;23;3
110;23;4
111;26;1
112;21;2
113;18;1
114;20;2
115;18;3
116;23;3
117;19;2
118;20;7
119;25;6
120;38;2
121;27;1
122;23;3
123;28;2
124;21;8
125;43;4
126;43;7
127;29;3
128;38;2
129;41;3
130;38;2
131;21;4
132;41;2
133;30;4
134;37;3
135;32;3
136;35;2
137;28;1
138;27;3
139;25;1
140;35;2
141;29;1
142;29;3
143;23;2
144;25;3
145;31;5
146;26;4
147;20;1
148;18;1
149;14;5
150;30;1
151;20;6
152;19;3
153;19;5
154;19;3
155;16;0
156;18;3
157;18;5
158;15;5
159;14;4
160;11;3
161;20;2
162;17;7
163;17;1
164;9;3
165;15;5
166;14;1
167;18;3
168;8;3
169;8;2
170;11;5
171;8;3
172;16;10
173;11;5
174;16;3
175;15;8
176;8;3
177;15;3
178;10;6
179;13;4
180;14;4
181;12;2
182;8;4
183;13;3
184;13;4
185;14;8
186;9;7
187;6;7
188;15;3
189;15;3
190;13;3
191;14;1
192;20;3
193;11;1
194;7;3
195;15;5
196;8;3
197;13;3
198;10;3
199;5;4
200;12;3
201;12;3
202;6;1
203;10;1
204;9;4
205;11;4
206;12;2
207;18;2
208;15;3
209;8;5
210;12;1
211;8;4
212;15;8
213;11;9
214;13;4
215;11;5
216;8;5
217;9;3
218;12;2
219;10;5
220;13;1
221;16;7
222;8;2
223;19;3
224;11;6
225;16;5
226;15;1
227;18;3
228;13;5
229;20;4
230;17;3
231;11;6
232;6;7
233;16;2
234;17;5
235;14;6
236;16;4
237;14;3
238;16;4
239;19;1
240;16;4
241;10;3
242;15;1
243;12;1
244;18;4
245;21;2
246;23;2
247;18;2
248;18;2
249;26;6
250;17;4
251;11;1
252;18;1
253;21;6
254;18;6
255;12;11
256;23;4
257;16;7
258;22;7
259;18;6
260;23;3
261;16;4
262;23;4
263;22;4
264;21;5
265;18;5
266;24;2
267;22;1
268;21;2
269;18;4
270;21;4
271;21;7
272;30;4
273;18;3
274;27;8
275;21;3
276;14;4
277;25;3
278;19;2
279;12;1
280;14;2
281;20;5
282;11;7
283;21;3
284;12;6
285;16;7
286;15;3
287;13;1
